nama_sku,harga,jumlah_penjualan,halaman
"DRESS ANAK KONICHIWA EBV Baju Dress Anak Perempuan Import - Grey, M",Rp114.400,2 terjual,1
Sandal konichiwa,Rp65.000,60+ terjual,1
Kaos Tulisan Jepang - KONICHIWA - Baju Kaos Distro Pria Murah - FPC ID,Rp34.500,26 terjual,1
[EP] Yuki Saito - Kanashimi yo Konichiwa (Maison Ikkoku),Rp140.000,0,1
Sprei Anak Beverly 120x200 100x200 90x200 Hello Kitty Konichiwa,Rp112.500,3 terjual,1
KONICHIWA Sandal Jepit Dewasa Series 5,Rp123.000,0,1
Promo Sandal Konichiwa Abstract Pop - Navy Blue - Women Murah,Rp192.400,0,1
KONICHIWA - Sarung Tangan Latex/Lateks | Gloves Isi 100,Rp36.500,0,1
konichiwa eyewear frame kacamata pure asetat 72011 kacamata cateye,Rp115.000,0,1
SANDAL ANAK KONICHIWA UNISEX KIDS,Rp70.000,0,1
Hakushika Umakuchi shika Pack 3L sake,Rp1.150.000,5 terjual,1
Hosomen ramen kecil,Rp30.000,3rb+ terjual,1
"T-Shirt Karakter Korean Cute / Kaos Distro Anak - Koya, S ( 1-2 Thn )",Rp37.500,0,1
POP IT JUMBO XL BUTTERFLY / popit tiktok viral kado - Rainbow,Rp79.000,40+ terjual,1
POP IT XXXL PASTEL STRAWBERRY PREMIUM / rainbow popit tiktok bubble,Rp169.000,21 terjual,1
Buku Travelling / Konichiwa Japan! / Buku tentang Jepang / Buku Travel,Rp31.900,10 terjual,1
"[LP] Ito Tsukasa - Sayonara, Konichiwa (Yume Miru Season) Vinyl PH",Rp260.000,0,1
Penghapus lucu smiggle konichiwa eraser set,Rp70.000,1 terjual,1
konichiwa eyewear frame kacamata pure asetat 72006 kacamata cateye,Rp120.000,0,1
KONICHIWA Jepit Sandal Dewasa 5 Series,Rp182.000,0,1
Sandal konichiwa (=),Rp84.000,0,1
sandal anak no 6 konichiwa,Rp105.000,0,1
Buku Travelling / Konichiwa Japan!,Rp52.200,0,1
